season,team,title_prob
1989-1990,San Antonio Spurs,0.05835
1989-1990,Seattle SuperSonics,0.0
1989-1990,Utah Jazz,0.029
1989-1990,Washington Bullets,0.0
1990-1991,Atlanta Hawks,0.0008
1990-1991,Boston Celtics,0.0827
1990-1991,Charlotte Hornets,0.0
1990-1991,Chicago Bulls,0.2969
1990-1991,Cleveland Cavaliers,0.0
1990-1991,Dallas Mavericks,0.0
1990-1991,Denver Nuggets,0.0
1990-1991,Detroit Pistons,0.0174
1990-1991,Golden State Warriors,0.00065
1990-1991,Houston Rockets,0.01065
1990-1991,Indiana Pacers,0.0004
1990-1991,Los Angeles Clippers,0.0
1990-1991,Los Angeles Lakers,0.12235
1990-1991,Miami Heat,0.0
1990-1991,Milwaukee Bucks,0.00805
1990-1991,Minnesota Timberwolves,0.0
1990-1991,New Jersey Nets,0.0
1990-1991,New York Knicks,0.00015
1990-1991,Orlando Magic,0.0
1990-1991,Philadelphia 76ers,0.0014
1990-1991,Phoenix Suns,0.0398
1990-1991,Portland Trail Blazers,0.3729
1990-1991,Sacramento Kings,0.0
1990-1991,San Antonio Spurs,0.0293
1990-1991,Seattle SuperSonics,5e-05
1990-1991,Utah Jazz,0.0165
1990-1991,Washington Bullets,0.0
1991-1992,Atlanta Hawks,0.0001
1991-1992,Boston Celtics,0.01515
1991-1992,Charlotte Hornets,0.0
1991-1992,Chicago Bulls,0.64355
1991-1992,Cleveland Cavaliers,0.09735
1991-1992,Dallas Mavericks,0.0
1991-1992,Denver Nuggets,0.0
1991-1992,Detroit Pistons,0.00275
1991-1992,Golden State Warriors,0.0538
1991-1992,Houston Rockets,0.0
1991-1992,Indiana Pacers,0.0004
1991-1992,Los Angeles Clippers,0.0022
1991-1992,Los Angeles Lakers,0.00075
1991-1992,Miami Heat,0.0
1991-1992,Milwaukee Bucks,0.0
1991-1992,Minnesota Timberwolves,0.0
1991-1992,New Jersey Nets,5e-05
1991-1992,New York Knicks,0.00885
1991-1992,Orlando Magic,0.0
1991-1992,Philadelphia 76ers,0.0
1991-1992,Phoenix Suns,0.0294
1991-1992,Portland Trail Blazers,0.10335
1991-1992,Sacramento Kings,0.0
1991-1992,San Antonio Spurs,0.0021
1991-1992,Seattle SuperSonics,0.00365
1991-1992,Utah Jazz,0.03655
1991-1992,Washington Bullets,0.0
1992-1993,Atlanta Hawks,0.00125
1992-1993,Boston Celtics,0.01005
1992-1993,Charlotte Hornets,0.00255
1992-1993,Chicago Bulls,0.1235
1992-1993,Cleveland Cavaliers,0.05455
1992-1993,Dallas Mavericks,0.0
1992-1993,Denver Nuggets,0.0
1992-1993,Detroit Pistons,0.0
1992-1993,Golden State Warriors,0.0
1992-1993,Houston Rockets,0.0629
1992-1993,Indiana Pacers,0.0007
1992-1993,Los Angeles Clippers,0.0003
1992-1993,Los Angeles Lakers,0.00015
1992-1993,Miami Heat,0.0
1992-1993,Milwaukee Bucks,0.0
1992-1993,Minnesota Timberwolves,0.0
1992-1993,New Jersey Nets,0.00075
1992-1993,New York Knicks,0.26975
1992-1993,Orlando Magic,0.0
1992-1993,Philadelphia 76ers,0.0
1992-1993,Phoenix Suns,0.3849
1992-1993,Portland Trail Blazers,0.01575
1992-1993,Sacramento Kings,0.0
1992-1993,San Antonio Spurs,0.0056
1992-1993,Seattle SuperSonics,0.064
1992-1993,Utah Jazz,0.0033
1992-1993,Washington Bullets,0.0
1993-1994,Atlanta Hawks,0.14365
1993-1994,Boston Celtics,0.0
1993-1994,Charlotte Hornets,0.0
1993-1994,Chicago Bulls,0.05775
1993-1994,Cleveland Cavaliers,0.0045
1993-1994,Dallas Mavericks,0.0
1993-1994,Denver Nuggets,0.0001
1993-1994,Detroit Pistons,0.0
1993-1994,Golden State Warriors,0.00785
1993-1994,Houston Rockets,0.13265
1993-1994,Indiana Pacers,0.005
1993-1994,Los Angeles Clippers,0.0
1993-1994,Los Angeles Lakers,0.0
1993-1994,Miami Heat,0.00075
1993-1994,Milwaukee Bucks,0.0
1993-1994,Minnesota Timberwolves,0.0
1993-1994,New Jersey Nets,0.00145
1993-1994,New York Knicks,0.10935
1993-1994,Orlando Magic,0.01495
1993-1994,Philadelphia 76ers,0.0
1993-1994,Phoenix Suns,0.0656
1993-1994,Portland Trail Blazers,0.0031
1993-1994,Sacramento Kings,0.0
1993-1994,San Antonio Spurs,0.03425
1993-1994,Seattle SuperSonics,0.404
1993-1994,Utah Jazz,0.01505
1993-1994,Washington Bullets,0.0
1994-1995,Atlanta Hawks,0.00095
1994-1995,Boston Celtics,5e-05
1994-1995,Charlotte Hornets,0.0153
1994-1995,Chicago Bulls,0.0048
1994-1995,Cleveland Cavaliers,0.00115
1994-1995,Dallas Mavericks,0.0
1994-1995,Denver Nuggets,0.0002
1994-1995,Detroit Pistons,0.0
1994-1995,Golden State Warriors,0.0
1994-1995,Houston Rockets,0.00225
1994-1995,Indiana Pacers,0.0297
1994-1995,Los Angeles Clippers,0.0
1994-1995,Los Angeles Lakers,0.0033
1994-1995,Miami Heat,0.0
1994-1995,Milwaukee Bucks,0.0
1994-1995,Minnesota Timberwolves,0.0
1994-1995,New Jersey Nets,0.0
1994-1995,New York Knicks,0.0729
1994-1995,Orlando Magic,0.1385
1994-1995,Philadelphia 76ers,0.0
1994-1995,Phoenix Suns,0.1299
1994-1995,Portland Trail Blazers,0.0007
1994-1995,Sacramento Kings,0.0
1994-1995,San Antonio Spurs,0.33605
1994-1995,Seattle SuperSonics,0.06925
1994-1995,Utah Jazz,0.195
1994-1995,Washington Bullets,0.0
1995-1996,Atlanta Hawks,0.0001
1995-1996,Boston Celtics,0.0
1995-1996,Charlotte Hornets,0.0
1995-1996,Chicago Bulls,0.7619
1995-1996,Cleveland Cavaliers,0.0005
1995-1996,Dallas Mavericks,0.0
1995-1996,Denver Nuggets,0.0
1995-1996,Detroit Pistons,0.00025
1995-1996,Golden State Warriors,0.0
1995-1996,Houston Rockets,0.0006
1995-1996,Indiana Pacers,0.00215
1995-1996,Los Angeles Clippers,0.0
1995-1996,Los Angeles Lakers,0.0034
1995-1996,Miami Heat,0.0
1995-1996,Milwaukee Bucks,0.0
1995-1996,Minnesota Timberwolves,0.0
1995-1996,New Jersey Nets,0.0
1995-1996,New York Knicks,0.00035
1995-1996,Orlando Magic,0.04215
1995-1996,Philadelphia 76ers,0.0
1995-1996,Phoenix Suns,0.0
1995-1996,Portland Trail Blazers,0.00015
1995-1996,Sacramento Kings,5e-05
1995-1996,San Antonio Spurs,0.0374
1995-1996,Seattle SuperSonics,0.14235
1995-1996,Toronto Raptors,0.0
1995-1996,Utah Jazz,0.00865
1995-1996,Vancouver Grizzlies,0.0
1995-1996,Washington Bullets,0.0
1996-1997,Atlanta Hawks,0.01015
1996-1997,Boston Celtics,0.0
1996-1997,Charlotte Hornets,0.0047
1996-1997,Chicago Bulls,0.5931
1996-1997,Cleveland Cavaliers,0.0
1996-1997,Dallas Mavericks,0.0
1996-1997,Denver Nuggets,0.0
1996-1997,Detroit Pistons,0.00585
1996-1997,Golden State Warriors,0.0
1996-1997,Houston Rockets,0.03225
1996-1997,Indiana Pacers,0.0
1996-1997,Los Angeles Clippers,0.0
1996-1997,Los Angeles Lakers,0.0125
1996-1997,Miami Heat,0.0905
1996-1997,Milwaukee Bucks,0.0
1996-1997,Minnesota Timberwolves,0.0
1996-1997,New Jersey Nets,0.0
1996-1997,New York Knicks,0.0202
1996-1997,Orlando Magic,0.00015
1996-1997,Philadelphia 76ers,0.0
1996-1997,Phoenix Suns,5e-05
1996-1997,Portland Trail Blazers,0.00085
1996-1997,Sacramento Kings,0.0
1996-1997,San Antonio Spurs,0.0
1996-1997,Seattle SuperSonics,0.02635
1996-1997,Toronto Raptors,0.0
1996-1997,Utah Jazz,0.2033
1996-1997,Vancouver Grizzlies,0.0
1996-1997,Washington Bullets,5e-05
1997-1998,Atlanta Hawks,0.00705
1997-1998,Boston Celtics,0.0
1997-1998,Charlotte Hornets,0.01055
1997-1998,Chicago Bulls,0.3149
1997-1998,Cleveland Cavaliers,0.0027
1997-1998,Dallas Mavericks,0.0
1997-1998,Denver Nuggets,0.0
1997-1998,Detroit Pistons,0.0
1997-1998,Golden State Warriors,0.0
1997-1998,Houston Rockets,0.0
1997-1998,Indiana Pacers,0.1143
1997-1998,Los Angeles Clippers,0.0
1997-1998,Los Angeles Lakers,0.1408
1997-1998,Miami Heat,0.03855
1997-1998,Milwaukee Bucks,0.0
1997-1998,Minnesota Timberwolves,0.00035
1997-1998,New Jersey Nets,0.0003
1997-1998,New York Knicks,0.0004
1997-1998,Orlando Magic,0.0
1997-1998,Philadelphia 76ers,0.0
1997-1998,Phoenix Suns,0.01975
1997-1998,Portland Trail Blazers,0.00045
1997-1998,Sacramento Kings,0.0
1997-1998,San Antonio Spurs,0.0195
1997-1998,Seattle SuperSonics,0.121
1997-1998,Toronto Raptors,0.0
1997-1998,Utah Jazz,0.2094
1997-1998,Vancouver Grizzlies,0.0
1997-1998,Washington Wizards,0.0
1998-1999,Atlanta Hawks,0.02985
1998-1999,Boston Celtics,0.0
1998-1999,Charlotte Hornets,0.0
1998-1999,Chicago Bulls,0.0
1998-1999,Cleveland Cavaliers,0.0
1998-1999,Dallas Mavericks,0.0
1998-1999,Denver Nuggets,0.0
1998-1999,Detroit Pistons,0.01655
1998-1999,Golden State Warriors,0.0
1998-1999,Houston Rockets,0.01245
1998-1999,Indiana Pacers,0.09645
1998-1999,Los Angeles Clippers,0.0
1998-1999,Los Angeles Lakers,0.01715
1998-1999,Miami Heat,0.09035
1998-1999,Milwaukee Bucks,0.00525
1998-1999,Minnesota Timberwolves,0.0004
1998-1999,New Jersey Nets,0.0
1998-1999,New York Knicks,0.0042
1998-1999,Orlando Magic,0.10215
1998-1999,Philadelphia 76ers,0.00795
1998-1999,Phoenix Suns,0.0022
1998-1999,Portland Trail Blazers,0.105
1998-1999,Sacramento Kings,0.00115
1998-1999,San Antonio Spurs,0.2897
1998-1999,Seattle SuperSonics,0.0
1998-1999,Toronto Raptors,0.0
1998-1999,Utah Jazz,0.2192
1998-1999,Vancouver Grizzlies,0.0
1998-1999,Washington Wizards,0.0
1999-2000,Atlanta Hawks,0.0
1999-2000,Boston Celtics,0.0
1999-2000,Charlotte Hornets,0.0108
1999-2000,Chicago Bulls,0.0
1999-2000,Cleveland Cavaliers,0.0
1999-2000,Dallas Mavericks,0.0
1999-2000,Denver Nuggets,0.0
1999-2000,Detroit Pistons,0.00065
1999-2000,Golden State Warriors,0.0
1999-2000,Houston Rockets,0.0
1999-2000,Indiana Pacers,0.1014
1999-2000,Los Angeles Clippers,0.0
1999-2000,Los Angeles Lakers,0.6189
1999-2000,Miami Heat,0.0349
1999-2000,Milwaukee Bucks,0.00095
1999-2000,Minnesota Timberwolves,0.0059
1999-2000,New Jersey Nets,0.0
1999-2000,New York Knicks,0.0191
1999-2000,Orlando Magic,0.0
1999-2000,Philadelphia 76ers,0.00835
1999-2000,Phoenix Suns,0.0165
1999-2000,Portland Trail Blazers,0.12825
1999-2000,Sacramento Kings,0.00075
1999-2000,San Antonio Spurs,0.0144
1999-2000,Seattle SuperSonics,0.00105
1999-2000,Toronto Raptors,0.0027
1999-2000,Utah Jazz,0.0354
1999-2000,Vancouver Grizzlies,0.0
1999-2000,Washington Wizards,0.0
2000-2001,Atlanta Hawks,0.0
2000-2001,Boston Celtics,0.0
2000-2001,Charlotte Hornets,0.0075
2000-2001,Chicago Bulls,0.0
2000-2001,Cleveland Cavaliers,0.0
2000-2001,Dallas Mavericks,0.0559
2000-2001,Denver Nuggets,0.0
2000-2001,Detroit Pistons,0.0
2000-2001,Golden State Warriors,0.0
2000-2001,Houston Rockets,0.0
2000-2001,Indiana Pacers,0.0009
2000-2001,Los Angeles Clippers,0.0
2000-2001,Los Angeles Lakers,0.1428
2000-2001,Miami Heat,0.0339
2000-2001,Milwaukee Bucks,0.06455
2000-2001,Minnesota Timberwolves,0.0089
2000-2001,New Jersey Nets,0.0
2000-2001,New York Knicks,0.0162
2000-2001,Orlando Magic,0.0024
2000-2001,Philadelphia 76ers,0.2051
2000-2001,Phoenix Suns,0.02815
2000-2001,Portland Trail Blazers,0.01755
2000-2001,Sacramento Kings,0.10265
2000-2001,San Antonio Spurs,0.2501
2000-2001,Seattle SuperSonics,0.0
2000-2001,Toronto Raptors,0.0106
2000-2001,Utah Jazz,0.0528
2000-2001,Vancouver Grizzlies,0.0
2000-2001,Washington Wizards,0.0
2001-2002,Atlanta Hawks,0.0
2001-2002,Boston Celtics,0.03705
2001-2002,Charlotte Hornets,0.0092
2001-2002,Chicago Bulls,0.0
2001-2002,Cleveland Cavaliers,0.0
2001-2002,Dallas Mavericks,0.1018
2001-2002,Denver Nuggets,0.0
2001-2002,Detroit Pistons,0.0534
2001-2002,Golden State Warriors,0.0
2001-2002,Houston Rockets,0.0
2001-2002,Indiana Pacers,0.0033
2001-2002,Los Angeles Clippers,0.0
2001-2002,Los Angeles Lakers,0.1782
2001-2002,Memphis Grizzlies,0.0
2001-2002,Miami Heat,0.0
2001-2002,Milwaukee Bucks,0.0
2001-2002,Minnesota Timberwolves,0.01105
2001-2002,New Jersey Nets,0.0932
2001-2002,New York Knicks,0.0
2001-2002,Orlando Magic,0.0085
2001-2002,Philadelphia 76ers,0.00395
2001-2002,Phoenix Suns,0.0
2001-2002,Portland Trail Blazers,0.00895
2001-2002,Sacramento Kings,0.3374
2001-2002,San Antonio Spurs,0.14685
2001-2002,Seattle SuperSonics,0.00195
2001-2002,Toronto Raptors,0.00355
2001-2002,Utah Jazz,0.00165
2001-2002,Washington Wizards,0.0
2002-2003,Atlanta Hawks,0.0
2002-2003,Boston Celtics,0.00575
2002-2003,Chicago Bulls,0.0
2002-2003,Cleveland Cavaliers,0.0
2002-2003,Dallas Mavericks,0.33125
2002-2003,Denver Nuggets,0.0
2002-2003,Detroit Pistons,0.0492
2002-2003,Golden State Warriors,0.0
2002-2003,Houston Rockets,0.0
2002-2003,Indiana Pacers,0.02835
2002-2003,Los Angeles Clippers,0.0
2002-2003,Los Angeles Lakers,0.02035
2002-2003,Memphis Grizzlies,0.0
2002-2003,Miami Heat,0.0
2002-2003,Milwaukee Bucks,0.004
2002-2003,Minnesota Timberwolves,0.0322
2002-2003,New Jersey Nets,0.04005
2002-2003,New Orleans Hornets,0.01385
2002-2003,New York Knicks,0.0
2002-2003,Orlando Magic,0.0031
2002-2003,Philadelphia 76ers,0.0245
2002-2003,Phoenix Suns,0.00205
2002-2003,Portland Trail Blazers,0.01285
2002-2003,Sacramento Kings,0.17425
2002-2003,San Antonio Spurs,0.2535
2002-2003,Seattle SuperSonics,0.0
2002-2003,Toronto Raptors,0.0
2002-2003,Utah Jazz,0.00475
2002-2003,Washington Wizards,0.0
2003-2004,Atlanta Hawks,0.0
2003-2004,Boston Celtics,0.00015
2003-2004,Chicago Bulls,0.0
2003-2004,Cleveland Cavaliers,0.0
2003-2004,Dallas Mavericks,0.0214
2003-2004,Denver Nuggets,0.0008
2003-2004,Detroit Pistons,0.07315
2003-2004,Golden State Warriors,0.0
2003-2004,Houston Rockets,0.0025
2003-2004,Indiana Pacers,0.4
2003-2004,Los Angeles Clippers,0.0
2003-2004,Los Angeles Lakers,0.0889
2003-2004,Memphis Grizzlies,0.0113
2003-2004,Miami Heat,0.00245
2003-2004,Milwaukee Bucks,0.0013
2003-2004,Minnesota Timberwolves,0.1876
2003-2004,New Jersey Nets,0.0094
2003-2004,New Orleans Hornets,0.00105
2003-2004,New York Knicks,0.0002
2003-2004,Orlando Magic,0.0
2003-2004,Philadelphia 76ers,0.0
2003-2004,Phoenix Suns,0.0
2003-2004,Portland Trail Blazers,0.0
2003-2004,Sacramento Kings,0.06165
2003-2004,San Antonio Spurs,0.13815
2003-2004,Seattle SuperSonics,0.0
2003-2004,Toronto Raptors,0.0
2003-2004,Utah Jazz,0.0
2003-2004,Washington Wizards,0.0
2004-2005,Atlanta Hawks,0.0
2004-2005,Boston Celtics,0.0061
2004-2005,Charlotte Bobcats,0.0
2004-2005,Chicago Bulls,0.0148
2004-2005,Cleveland Cavaliers,0.00155
2004-2005,Dallas Mavericks,0.108
2004-2005,Denver Nuggets,0.00355
2004-2005,Detroit Pistons,0.05535
2004-2005,Golden State Warriors,0.0
2004-2005,Houston Rockets,0.0095
2004-2005,Indiana Pacers,0.0051
2004-2005,Los Angeles Clippers,0.0
2004-2005,Los Angeles Lakers,0.0
2004-2005,Memphis Grizzlies,0.0021
2004-2005,Miami Heat,0.2294
2004-2005,Milwaukee Bucks,0.0
2004-2005,Minnesota Timberwolves,0.0
2004-2005,New Jersey Nets,0.0
2004-2005,New Orleans Hornets,0.0
2004-2005,New York Knicks,0.0
2004-2005,Orlando Magic,0.0
2004-2005,Philadelphia 76ers,0.00315
2004-2005,Phoenix Suns,0.35735
2004-2005,Portland Trail Blazers,0.0
2004-2005,Sacramento Kings,0.0079
2004-2005,San Antonio Spurs,0.16135
2004-2005,Seattle SuperSonics,0.0287
2004-2005,Toronto Raptors,0.0
2004-2005,Utah Jazz,0.0
2004-2005,Washington Wizards,0.0061
2005-2006,Atlanta Hawks,0.0
2005-2006,Boston Celtics,0.0
2005-2006,Charlotte Bobcats,0.0
2005-2006,Chicago Bulls,0.00035
2005-2006,Cleveland Cavaliers,0.019
2005-2006,Dallas Mavericks,0.1589
2005-2006,Denver Nuggets,0.00045
2005-2006,Detroit Pistons,0.4594
2005-2006,Golden State Warriors,0.0
2005-2006,Houston Rockets,0.0
2005-2006,Indiana Pacers,0.00025
2005-2006,Los Angeles Clippers,0.0022
2005-2006,Los Angeles Lakers,0.00055
2005-2006,Memphis Grizzlies,0.004
2005-2006,Miami Heat,0.027
2005-2006,Milwaukee Bucks,0.0
2005-2006,Minnesota Timberwolves,0.0
2005-2006,New Jersey Nets,0.00705
2005-2006,New Orleans/Oklahoma City Hornets,0.0
2005-2006,New York Knicks,0.0
2005-2006,Orlando Magic,0.0
2005-2006,Philadelphia 76ers,0.0
2005-2006,Phoenix Suns,0.0293
2005-2006,Portland Trail Blazers,0.0
2005-2006,Sacramento Kings,0.0005
2005-2006,San Antonio Spurs,0.2905
2005-2006,Seattle SuperSonics,0.0
2005-2006,Toronto Raptors,0.0
2005-2006,Utah Jazz,0.0
2005-2006,Washington Wizards,0.00055
2006-2007,Atlanta Hawks,0.0
2006-2007,Boston Celtics,0.0
2006-2007,Charlotte Bobcats,0.0
2006-2007,Chicago Bulls,0.01955
